LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.21893295815465583
Amygdala;DICE;STD;0.22444605591955621
Amygdala;HDRFDST;MEAN;inf
Amygdala;HDRFDST;STD;nan
GreyMatter;DICE;MEAN;0.35687370540120394
GreyMatter;DICE;STD;0.3569466483770028
GreyMatter;HDRFDST;MEAN;60.86473854545094
GreyMatter;HDRFDST;STD;58.61598418344521
Hippocampus;DICE;MEAN;0.19290950541508992
Hippocampus;DICE;STD;0.19650005898841338
Hippocampus;HDRFDST;MEAN;inf
Hippocampus;HDRFDST;STD;nan
Thalamus;DICE;MEAN;0.3303712447037146
Thalamus;DICE;STD;0.3374414596796784
Thalamus;HDRFDST;MEAN;inf
Thalamus;HDRFDST;STD;nan
WhiteMatter;DICE;MEAN;0.4101005238747287
WhiteMatter;DICE;STD;0.4079048018457035
WhiteMatter;HDRFDST;MEAN;27.10498515558951
WhiteMatter;HDRFDST;STD;23.93156450621798
