LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.7246898397729925
Amygdala;DICE;STD;0.05850023422753949
Amygdala;HDRFDST;MEAN;5.412618374589376
Amygdala;HDRFDST;STD;4.669428480130889
GreyMatter;DICE;MEAN;0.5483168367410791
GreyMatter;DICE;STD;0.01645568849704454
GreyMatter;HDRFDST;MEAN;12.295653472451512
GreyMatter;HDRFDST;STD;2.3274246895208215
Hippocampus;DICE;MEAN;0.7137200995740148
Hippocampus;DICE;STD;0.0386073238823569
Hippocampus;HDRFDST;MEAN;6.601736936878071
Hippocampus;HDRFDST;STD;4.291511320765651
Thalamus;DICE;MEAN;0.8521031106416448
Thalamus;DICE;STD;0.024875331731196867
Thalamus;HDRFDST;MEAN;8.89073436391685
Thalamus;HDRFDST;STD;12.476170985934267
WhiteMatter;DICE;MEAN;0.6996585209577926
WhiteMatter;DICE;STD;0.01902208938840579
WhiteMatter;HDRFDST;MEAN;12.246071227529628
WhiteMatter;HDRFDST;STD;1.9833656975633749
