LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4122363195938054
Amygdala;DICE;STD;0.04359385349998106
Amygdala;HDRFDST;MEAN;72.72675010499725
Amygdala;HDRFDST;STD;3.4234221424302227
GreyMatter;DICE;MEAN;0.7153784790480063
GreyMatter;DICE;STD;0.010355032313530143
GreyMatter;HDRFDST;MEAN;18.869998196441692
GreyMatter;HDRFDST;STD;1.3502474092874173
Hippocampus;DICE;MEAN;0.3635414746439124
Hippocampus;DICE;STD;0.04269823432023509
Hippocampus;HDRFDST;MEAN;75.92415151695978
Hippocampus;HDRFDST;STD;4.8500738581732445
Thalamus;DICE;MEAN;0.5942456988449745
Thalamus;DICE;STD;0.0869802608102352
Thalamus;HDRFDST;MEAN;67.7240129512585
Thalamus;HDRFDST;STD;3.867566389575316
WhiteMatter;DICE;MEAN;0.816028289261998
WhiteMatter;DICE;STD;0.01785138374431025
WhiteMatter;HDRFDST;MEAN;22.33477943234642
WhiteMatter;HDRFDST;STD;3.107672394000931
